death,0,1
win,1,1
death,1,2
death,1,3
death,1,4
death,1,5
win,2,5
win,3,5
death,3,6
win,4,6
win,5,6
death,5,7
death,0,1
death,0,2
death,0,3
win,1,3
death,1,4
death,1,5
death,1,6
death,1,7
